ts_micro,frame_index,threshold
1616659709.756515,0,5
1616659710.249342,1,6
1616659710.358078,2,7
1616659710.471471,3,8
1616659710.57928,4,9
1616659710.693268,5,10
1616659710.795264,6,11
1616659710.910186,7,12
1616659711.017028,8,13
1616659711.104901,9,14
1616659711.207542,10,15
1616659711.321403,11,16
1616659711.448359,12,17
1616659711.533757,13,18
1616659711.639266,14,19
1616659711.7444,15,20
1616659711.8567,16,21
1616659711.94246,17,22
1616659712.035216,18,23
1616659712.134062,19,24
1616659712.24101,20,25
1616659712.349841,21,26
1616659712.455319,22,27
1616659712.561994,23,28
1616659712.667482,24,29
1616659712.758175,25,30
1616659712.844879,26,31
1616659712.932128,27,32
1616659713.015562,28,33
1616659713.099461,29,34
1616659713.200743,30,35
1616659713.313695,31,36
1616659713.425804,32,37
1616659713.536212,33,38
1616659713.626302,34,39
1616659713.711198,35,40
1616659713.804715,36,41
1616659713.896275,37,42
1616659713.987726,38,43
1616659714.079145,39,44
1616659714.175322,40,45
1616659714.277329,41,46
1616659714.376068,42,47
1616659714.478771,43,48
1616659714.588456,44,49
1616659714.680401,45,50
1616659714.773911,46,51
1616659714.867867,47,52
1616659714.968966,48,53
1616659715.06549,49,54
1616659715.172645,50,55
1616659715.286973,51,56
1616659715.392566,52,57
1616659715.506934,53,58
1616659715.612527,54,59
1616659715.717035,55,60
1616659715.81711,56,61
1616659715.916594,57,62
1616659716.022904,58,63
1616659716.13985,59,64
1616659716.236518,60,65
1616659716.333039,61,66
1616659716.425456,62,67
1616659716.53676,63,68
1616659716.643367,64,69
1616659716.744004,65,5
1616659716.85841,66,6
1616659716.949882,67,7
1616659717.043645,68,8
1616659717.150459,69,9
1616659717.256347,70,10
1616659717.348827,71,11
1616659717.438624,72,12
1616659717.53674,73,13
1616659717.634858,74,14
1616659717.719066,75,15
1616659717.803997,76,16
1616659717.890919,77,17
1616659717.995301,78,18
1616659718.094058,79,19
1616659718.193118,80,20
1616659718.285943,81,21
1616659718.382372,82,22
1616659718.488151,83,23
1616659718.598412,84,24
1616659718.68969,85,25
1616659718.793119,86,26
1616659718.898918,87,27
1616659718.983405,88,28
1616659719.073898,89,29
1616659719.16778,90,30
1616659719.251733,91,31
1616659719.346207,92,32
1616659719.439367,93,33
1616659719.533034,94,34
1616659719.634035,95,35
1616659719.740593,96,36
1616659719.846447,97,37
1616659719.957782,98,38
1616659720.048057,99,39
1616659720.144262,100,40
1616659720.252696,101,41
1616659720.35202,102,42
1616659720.438921,103,43
1616659720.54455,104,44
1616659720.648227,105,45
1616659720.748187,106,46
1616659720.865998,107,47
1616659720.958631,108,48
1616659721.051524,109,49
1616659721.142464,110,50
1616659721.236303,111,51
1616659721.329567,112,52
1616659721.426805,113,53
1616659721.517974,114,54
1616659721.620414,115,55
1616659721.719657,116,56
1616659721.818242,117,57
1616659721.912897,118,58
1616659722.018537,119,59
1616659722.115798,120,60
1616659722.21465,121,61
1616659722.323063,122,62
1616659722.432293,123,63
1616659722.530443,124,64
1616659722.634501,125,65
1616659722.723348,126,66
1616659722.823411,127,67
1616659722.936062,128,68
1616659723.058325,129,69
1616659723.154642,130,5
1616659723.258183,131,6
1616659723.351002,132,7
1616659723.444489,133,8
1616659723.541946,134,9
1616659723.643764,135,10
1616659723.748506,136,11
1616659723.84313,137,12
1616659723.942153,138,13
1616659724.037221,139,14
1616659724.139392,140,15
1616659724.237172,141,16
1616659724.327435,142,17
1616659724.441259,143,18
1616659724.554786,144,19
1616659724.65126,145,20
1616659724.735656,146,21
1616659724.821136,147,22
1616659724.918614,148,23
1616659725.0323,149,24
1616659725.142697,150,25
1616659725.243754,151,26
1616659725.341008,152,27
1616659725.444506,153,28
1616659725.546109,154,29
1616659725.655036,155,30
1616659725.755574,156,31
